Date,Location,Longitude,Latitude,Height,Start,Stop,Immersion,Emersion,Immersion error,Emersion error
"2014-11-15 10:19",Reno,-119.764722,39.39125,1470,"2014-11-15 10:18:34.100000","2014-11-15 10:20:46.640000","2014-11-15 10:19:34.100000","2014-11-15 10:19:46.640000",0.7,0.65
"2014-11-15 10:19",CarsonCityS,-119.558722,39.27402778,1332.6,"2014-11-15 10:18:30.600000","2014-11-15 10:20:46.300000","2014-11-15 10:19:30.600000","2014-11-15 10:19:46.300000",0.6,0.42
"2014-11-15 10:19",CarsonCityB,-119.796333,39.185611,1548.1,"2014-11-15 10:18:32.200000","2014-11-15 10:20:47.300000","2014-11-15 10:19:32.200000","2014-11-15 10:19:47.300000",0.5,0.41
"2014-11-15 10:19",Yerington,-119.160833,38.991194,1342.7,"2014-11-15 10:18:29.250000","2014-11-15 10:20:46.000000","2014-11-15 10:19:29.250000","2014-11-15 10:19:46.000000",0.41,0.35
"2014-11-15 10:19",Gardnerville,-119.672306,38.889861,1534.9,"2014-11-15 10:18:29.710000","2014-11-15 10:20:48.070000","2014-11-15 10:19:29.710000","2014-11-15 10:19:48.070000",0.46,0.3
"2014-11-15 10:19",Tonopah,-117.235194,38.089472,1838.7,"2014-11-15 10:18:17.600000","2014-11-15 10:20:42.450000","2014-11-15 10:19:17.600000","2014-11-15 10:19:42.450000",0.55,0.3
"2014-11-15 10:19",Urbana,-88.196222,40.086806,227,"2014-11-15 10:17:03.610000","2014-11-15 10:19:27.600000","2014-11-15 10:18:03.610000","2014-11-15 10:18:27.600000",0.9,0.9
"2014-11-15 10:19",AdlerSprings,-119.4125,37.07041667,1405,"2014-11-15 10:18:24.356","2014-11-15 10:20:50.249","2014-11-15 10:19:24.356","2014-11-15 10:19:50.249",0.159,0.159
