Date,Location,Longitude,Latitude,Height,Start,Stop,Immersion,Emersion,Immersion error,Emersion error
"2018-09-10 03:39",TWF,"-114 28 13.1","42 35 01.9",1133,"2018-09-10 03:31:57.10","2018-09-10 03:34:58.83","2018-09-10 03:32:57.10","2018-09-10 03:33:58.83",0.6,0.6
"2018-09-10 03:39",MHV,"-114 35 48.9","35 01 54.1",184,"2018-09-10 03:32:56.99","2018-09-10 03:36:05.27","2018-09-10 03:33:56.99","2018-09-10 03:35:05.27",0.76,0.3
"2018-09-10 03:39",YMA,"-114 26 10.5","32 39 34.0",97,"2018-09-10 03:33:17.10","2018-09-10 03:36:26.39","2018-09-10 03:34:17.10","2018-09-10 03:35:26.39",0.6,0.59
"2018-09-10 03:39",CAR,"-111 57 07.9","33 48 42.9",654,"2018-09-10 03:33:12.39","2018-09-10 03:36:19.52","2018-09-10 03:34:12.39","2018-09-10 03:35:19.52",0.47,0.47
"2018-09-10 03:39",FLO,"-111 21 00.6","33 00 54.3",484,"2018-09-10 03:33:23.30","2018-09-10 03:36:26.75","2018-09-10 03:34:23.30","2018-09-10 03:35:26.75",0.13,0.15
